262144,9,1.879000,2359296,1.255612
1048576,9,5.386000,9437184,1.752169
2359296,9,10.546000,21233664,2.013433
4194304,9,18.127001,37748736,2.082459
6553600,9,26.396999,58982400,2.234436
9437184,9,39.113998,84934656,2.171464
12845056,9,53.460999,115605504,2.162427
16777216,9,68.634003,150994944,2.200002
21233664,9,86.727997,191102976,2.203475
26214400,9,107.011002,235929600,2.204723
31719424,9,132.688004,285474816,2.151474
37748736,9,161.326004,339738624,2.105914
262144,25,1.390000,6553600,4.714820
1048576,25,4.277000,26214400,6.129156
2359296,25,9.639000,58982400,6.119142
4194304,25,17.171000,104857600,6.106668
6553600,25,28.113001,163840000,5.827909
9437184,25,39.472000,235929600,5.977138
12845056,25,53.096001,321126400,6.048034
16777216,25,69.725998,419430400,6.015409
21233664,25,89.324997,530841600,5.942811
26214400,25,107.481003,655360000,6.097449
31719424,25,129.569000,792985600,6.120180
37748736,25,163.477997,943718400,5.772755
262144,9,1.951000,2359296,1.209275
1048576,9,5.305000,9437184,1.778923
2359296,9,10.319000,21233664,2.057725
4194304,9,17.436001,37748736,2.164988
6553600,9,26.256001,58982400,2.246435
9437184,9,39.122002,84934656,2.171020
12845056,9,53.603001,115605504,2.156698
16777216,9,68.962997,150994944,2.189507
21233664,9,87.186996,191102976,2.191875
26214400,9,112.101997,235929600,2.104598
31719424,9,132.541000,285474816,2.153860
37748736,9,158.444000,339738624,2.144219
262144,25,1.685000,6553600,3.889377
1048576,25,4.336000,26214400,6.045756
2359296,25,9.782000,58982400,6.029687
4194304,25,17.844999,104857600,5.876022
6553600,25,26.482000,163840000,6.186844
9437184,25,40.957001,235929600,5.760422
12845056,25,53.932999,321126400,5.954173
16777216,25,69.085999,419430400,6.071135
21233664,25,89.621002,530841600,5.923183
26214400,25,107.526001,655360000,6.094898
31719424,25,130.591003,792985600,6.072284
37748736,25,164.895996,943718400,5.723113
262144,9,1.924000,2359296,1.226245
1048576,9,5.150000,9437184,1.832463
2359296,9,10.830000,21233664,1.960634
4194304,9,17.521000,37748736,2.154485
6553600,9,26.273001,58982400,2.244982
9437184,9,41.191002,84934656,2.061971
12845056,9,53.717999,115605504,2.152081
16777216,9,69.648003,150994944,2.167972
21233664,9,91.723999,191102976,2.083457
26214400,9,108.222000,235929600,2.180052
31719424,9,131.632004,285474816,2.168734
37748736,9,155.339996,339738624,2.187065
262144,25,1.551000,6553600,4.225403
1048576,25,4.311000,26214400,6.080817
2359296,25,9.780000,58982400,6.030920
4194304,25,16.774000,104857600,6.251198
6553600,25,26.215000,163840000,6.249857
9437184,25,40.084000,235929600,5.885880
12845056,25,53.641998,321126400,5.986474
16777216,25,69.884003,419430400,6.001808
21233664,25,87.877998,530841600,6.040666
26214400,25,108.674004,655360000,6.030513
31719424,25,131.291000,792985600,6.039908
37748736,25,169.876007,943718400,5.555336
262144,9,1.786000,2359296,1.320994
1048576,9,5.361000,9437184,1.760340
2359296,9,11.393000,21233664,1.863747
4194304,9,18.804001,37748736,2.007484
6553600,9,26.908001,58982400,2.192002
9437184,9,39.775002,84934656,2.135378
12845056,9,53.602001,115605504,2.156739
16777216,9,70.042999,150994944,2.155746
21233664,9,87.596001,191102976,2.181640
26214400,9,107.601997,235929600,2.192614
31719424,9,130.753006,285474816,2.183313
37748736,9,155.759003,339738624,2.181181
262144,25,1.458000,6553600,4.494925
1048576,25,4.316000,26214400,6.073772
2359296,25,9.715000,58982400,6.071271
4194304,25,17.027000,104857600,6.158313
6553600,25,26.051001,163840000,6.289202
9437184,25,39.588001,235929600,5.959624
12845056,25,53.615002,321126400,5.989488
16777216,25,70.087997,419430400,5.984340
21233664,25,88.158997,530841600,6.021412
26214400,25,108.169998,655360000,6.058612
31719424,25,130.104004,792985600,6.095013
37748736,25,165.705002,943718400,5.695171
262144,9,2.011000,2359296,1.173195
1048576,9,5.504000,9437184,1.714605
2359296,9,10.807000,21233664,1.964807
4194304,9,17.856001,37748736,2.114064
6553600,9,26.724001,58982400,2.207094
9437184,9,40.480999,84934656,2.098136
12845056,9,53.605999,115605504,2.156578
16777216,9,69.630997,150994944,2.168502
21233664,9,87.801003,191102976,2.176547
26214400,9,108.388000,235929600,2.176713
31719424,9,133.115005,285474816,2.144573
37748736,9,156.074997,339738624,2.176765
262144,25,1.508000,6553600,4.345888
1048576,25,4.404000,26214400,5.952407
2359296,25,9.802000,58982400,6.017385
4194304,25,16.899000,104857600,6.204959
6553600,25,26.990000,163840000,6.070396
9437184,25,42.665001,235929600,5.529816
12845056,25,53.861000,321126400,5.962132
16777216,25,69.598000,419430400,6.026473
21233664,25,88.472000,530841600,6.000109
26214400,25,109.477997,655360000,5.986226
31719424,25,130.764008,792985600,6.064250
37748736,25,170.998993,943718400,5.518854
