262144,9,0.862000,2359296,2.737002
1048576,9,3.158000,9437184,2.988342
2359296,9,6.663000,21233664,3.186802
4194304,9,11.214000,37748736,3.366215
6553600,9,17.323000,58982400,3.404860
9437184,9,24.761999,84934656,3.430040
12845056,9,34.356998,115605504,3.364831
16777216,9,43.931999,150994944,3.437015
21233664,9,56.382999,191102976,3.389372
26214400,9,68.464996,235929600,3.445989
31719424,9,85.863998,285474816,3.324732
37748736,9,98.710999,339738624,3.441751
262144,25,0.670000,6553600,9.781491
1048576,25,2.603000,26214400,10.070842
2359296,25,6.133000,58982400,9.617219
4194304,25,10.909000,104857600,9.612027
6553600,25,17.079000,163840000,9.593066
9437184,25,25.353001,235929600,9.305785
12845056,25,33.457001,321126400,9.598183
16777216,25,43.757000,419430400,9.585447
21233664,25,56.965000,530841600,9.318733
26214400,25,68.568001,655360000,9.557811
31719424,25,82.780998,792985600,9.579318
37748736,25,110.857002,943718400,8.512935
262144,9,0.901000,2359296,2.618530
1048576,9,3.310000,9437184,2.851113
2359296,9,7.100000,21233664,2.990657
4194304,9,11.389000,37748736,3.314491
6553600,9,17.163000,58982400,3.436602
9437184,9,25.000999,84934656,3.397251
12845056,9,34.473999,115605504,3.353411
16777216,9,43.716000,150994944,3.453997
21233664,9,55.513000,191102976,3.442490
26214400,9,68.667999,235929600,3.435801
31719424,9,82.435997,285474816,3.462987
37748736,9,98.539001,339738624,3.447758
262144,25,0.714000,6553600,9.178712
1048576,25,2.530000,26214400,10.361423
2359296,25,6.162000,58982400,9.571957
4194304,25,11.224000,104857600,9.342266
6553600,25,17.096001,163840000,9.583528
9437184,25,24.871000,235929600,9.486133
12845056,25,33.724998,321126400,9.521911
16777216,25,44.035000,419430400,9.524933
21233664,25,55.622002,530841600,9.543735
26214400,25,68.524002,655360000,9.563948
31719424,25,82.646004,792985600,9.594966
37748736,25,108.656998,943718400,8.685298
262144,9,0.878000,2359296,2.687125
1048576,9,3.305000,9437184,2.855426
2359296,9,6.408000,21233664,3.313618
4194304,9,11.316000,37748736,3.335873
6553600,9,17.176001,58982400,3.434001
9437184,9,24.891001,84934656,3.412264
12845056,9,33.924000,115605504,3.407779
16777216,9,43.683998,150994944,3.456528
21233664,9,55.381001,191102976,3.450696
26214400,9,68.751999,235929600,3.431603
31719424,9,82.891998,285474816,3.443937
37748736,9,98.065002,339738624,3.464423
262144,25,0.660000,6553600,9.929696
1048576,25,2.575000,26214400,10.180349
2359296,25,6.271000,58982400,9.405581
4194304,25,11.171000,104857600,9.386591
6553600,25,17.143999,163840000,9.556697
9437184,25,25.125999,235929600,9.389860
12845056,25,33.773998,321126400,9.508095
16777216,25,44.182999,419430400,9.493028
21233664,25,55.776001,530841600,9.517384
26214400,25,68.699997,655360000,9.539447
31719424,25,82.892998,792985600,9.566376
37748736,25,108.728996,943718400,8.679547
262144,9,0.874000,2359296,2.699423
1048576,9,3.093000,9437184,3.051143
2359296,9,6.380000,21233664,3.328161
4194304,9,11.369000,37748736,3.320322
6553600,9,17.229000,58982400,3.423437
9437184,9,25.014000,84934656,3.395485
12845056,9,34.046001,115605504,3.395568
16777216,9,44.063999,150994944,3.426719
21233664,9,55.669998,191102976,3.432782
26214400,9,68.955002,235929600,3.421501
31719424,9,84.314003,285474816,3.385853
37748736,9,98.759003,339738624,3.440078
262144,25,0.726000,6553600,9.026998
1048576,25,2.635000,26214400,9.948539
2359296,25,6.115000,58982400,9.645528
4194304,25,11.200000,104857600,9.362286
6553600,25,17.099001,163840000,9.581846
9437184,25,24.927000,235929600,9.464822
12845056,25,33.819000,321126400,9.495443
16777216,25,44.104000,419430400,9.510032
21233664,25,55.771000,530841600,9.518237
26214400,25,68.817001,655360000,9.523228
31719424,25,86.630997,792985600,9.153601
37748736,25,110.987999,943718400,8.502887
262144,9,0.877000,2359296,2.690189
1048576,9,3.127000,9437184,3.017967
2359296,9,6.498000,21233664,3.267723
4194304,9,11.398000,37748736,3.311874
6553600,9,17.374001,58982400,3.394866
9437184,9,24.730000,84934656,3.434479
12845056,9,33.988998,115605504,3.401263
16777216,9,43.986000,150994944,3.432795
21233664,9,55.532001,191102976,3.441313
26214400,9,68.088997,235929600,3.465018
31719424,9,82.596001,285474816,3.456279
37748736,9,97.839996,339738624,3.472390
262144,25,0.668000,6553600,9.810780
1048576,25,2.529000,26214400,10.365520
2359296,25,6.109000,58982400,9.655000
4194304,25,10.988000,104857600,9.542919
6553600,25,17.146999,163840000,9.555025
9437184,25,24.927999,235929600,9.464442
12845056,25,33.707001,321126400,9.526994
16777216,25,44.055000,419430400,9.520608
21233664,25,56.299999,530841600,9.428802
26214400,25,69.639999,655360000,9.410684
31719424,25,83.181000,792985600,9.533254
37748736,25,115.056000,943718400,8.202252
